account,opportunity_id,sales_agent,deal_stage,product,created_date,close_date,close_value
Plusstrip,EFG5DGV5,Markita Hansen,Won,MG Special,2016-12-06,2017-03-16,54.0
Labdrill,82MM4H33,Zane Levy,Won,GTX Plus Basic,2016-12-06,2017-03-09,1049.0
Gekko & Co,14PM641K,Cassey Cress,Won,GTX Plus Basic,2016-12-07,2017-03-07,1152.0
Plussunin,DSBGHOPN,Daniell Hammack,Lost,MG Special,2016-12-07,2017-03-20,0.0
Umbrella Corporation,1YSOZLHF,Daniell Hammack,Won,GTXPro,2016-12-07,2017-03-28,4799.0
dambase,E8RP9FRW,Gladys Colclough,Won,MG Special,2016-12-07,2017-03-12,51.0
J-Texon,787IRG9Q,Hayden Neloms,Won,MG Advanced,2016-12-07,2017-03-03,3426.0
Rangreen,0TUS4NAC,Jonathan Berthelot,Won,MG Special,2016-12-07,2017-03-11,51.0
Finjob,FAJTQMUM,Kami Bicknell,Won,GTX Basic,2016-12-07,2017-03-20,564.0
Isdom,TWF0J0DF,Cecily Lampkin,Won,GTX Plus Pro,2016-12-08,2017-03-01,5882.0
Plussunin,UQ14O415,Donn Cantrell,Won,GTXPro,2016-12-08,2017-03-20,5059.0
Singletechno,BOJSLNDG,Kami Bicknell,Won,MG Advanced,2016-12-08,2017-03-11,3388.0
Zoomit,DASMR0EK,Markita Hansen,Won,GTX Plus Pro,2016-12-08,2017-03-10,5410.0
Zathunicon,A76M0OOH,Reed Clapper,Won,GTX Plus Basic,2016-12-08,2017-03-28,978.0
Scotfind,E1VKE2PH,Vicki Laflamme,Won,MG Special,2016-12-08,2017-03-26,54.0
Betatech,SKY95DVG,Anna Snelling,Lost,MG Special,2016-12-09,2017-03-22,0.0
Bubba Gump,V5OK4V5I,Cassey Cress,Won,GTX Basic,2016-12-09,2017-03-14,549.0
Mathtouch,GJ4L5HHN,Corliss Cosme,Won,GTX Plus Basic,2016-12-09,2017-03-14,1034.0
Vehement Capital Partners,9R8JWY3J,Donn Cantrell,Won,GTXPro,2016-12-09,2017-03-03,4998.0
Ontomedia,0EOFVU05,Donn Cantrell,Won,MG Advanced,2016-12-09,2017-03-28,3421.0
Doncon,HNHOPL7M,Kary Hendrixson,Won,GTX Plus Pro,2016-12-09,2017-03-04,5425.0
Dalttechnology,Y0NYI17R,Vicki Laflamme,Won,MG Special,2016-12-09,2017-03-15,55.0
Silis,R4F4RGAL,Violet Mclelland,Won,MG Advanced,2016-12-09,2017-03-14,3558.0
Blackzim,0ZHLQFGU,Kami Bicknell,Won,GTXPro,2016-12-10,2017-03-22,4839.0
Hottechi,40DPY158,Markita Hansen,Won,MG Special,2016-12-10,2017-03-25,47.0
Fasehatice,DP9E525R,Maureen Marcano,Won,GTX Plus Basic,2016-12-10,2017-03-24,1007.0
Inity,DBDUMQQK,Niesha Huffines,Won,MG Special,2016-12-10,2017-03-24,48.0
Treequote,CNBN12RL,Versie Hillebrand,Won,MG Special,2016-12-10,2017-03-07,49.0
Mathtouch,OXL0YWEE,Violet Mclelland,Won,GTX Basic,2016-12-10,2017-03-18,504.0
Finhigh,5CSSZJF4,Jonathan Berthelot,Won,GTX Basic,2016-12-11,2017-03-21,543.0
Fasehatice,0XG8TOJF,Kary Hendrixson,Lost,GTX Plus Pro,2016-12-11,2017-03-18,0.0
Fasehatice,IIS0O91J,Kary Hendrixson,Won,GTXPro,2016-12-11,2017-03-28,5149.0
Treequote,2LP5SUR5,Lajuana Vencill,Lost,GTX Basic,2016-12-11,2017-03-09,0.0
Blackzim,PYZZ3IS6,Markita Hansen,Won,GTX Plus Basic,2016-12-11,2017-03-11,1043.0
Sumace,5I4K5TQE,Cassey Cress,Lost,GTX Plus Pro,2016-12-12,2017-03-09,0.0
Condax,RV3LPOYP,James Ascencio,Won,GTX Basic,2016-12-12,2017-03-29,437.0
Kinnamplus,1HVNTEPV,Rosie Papadopoulos,Won,GTXPro,2016-12-12,2017-03-11,4465.0
Konex,LC85AQ1I,Vicki Laflamme,Won,GTX Basic,2016-12-12,2017-03-18,443.0
Sumace,TBV972NP,Violet Mclelland,Lost,MG Special,2016-12-12,2017-03-23,0.0
Betatech,EJMX0EIJ,Darcel Schlecht,Won,GTX Plus Pro,2016-12-13,2017-03-20,4278.0
Kinnamplus,VR9NYBOV,Garret Kinder,Won,MG Special,2016-12-13,2017-03-06,41.0
Isdom,3U25FK08,Jonathan Berthelot,Won,GTX Basic,2016-12-13,2017-03-28,519.0
Kan-code,CRLK4Z1P,Maureen Marcano,Won,GTX Basic,2016-12-13,2017-03-04,524.0
Singletechno,OGENAT0L,Zane Levy,Won,GTX Basic,2016-12-13,2017-03-27,552.0
Konmatfix,F57JWIDF,Gladys Colclough,Won,GTX Plus Basic,2016-12-14,2017-03-02,970.0
Hatfan,LF8JZ3Q5,Kary Hendrixson,Won,GTX Plus Basic,2016-12-14,2017-03-13,1046.0
Sunnamplex,MRGBSMQ5,Kary Hendrixson,Won,GTX Plus Basic,2016-12-14,2017-03-14,988.0
Codehow,CBAV8ZJL,Lajuana Vencill,Won,GTX Basic,2016-12-14,2017-03-22,547.0
Singletechno,NN4DWBVN,Maureen Marcano,Lost,GTXPro,2016-12-14,2017-03-04,0.0
Isdom,6JXHEZYK,Versie Hillebrand,Won,MG Special,2016-12-14,2017-03-31,54.0
Silis,WDHNR2EI,Violet Mclelland,Won,MG Special,2016-12-14,2017-03-20,57.0
Yearin,4K750D6F,Violet Mclelland,Won,MG Special,2016-12-14,2017-03-18,55.0
Stanredtax,94GI0ZJ7,Anna Snelling,Won,GTX Plus Pro,2016-12-15,2017-03-15,5765.0
Bioplex,TODG6DEK,Daniell Hammack,Won,GTX Basic,2016-12-15,2017-03-16,639.0
Labdrill,G0ECB8FS,Kary Hendrixson,Won,GTXPro,2016-12-15,2017-03-15,5100.0
Fasehatice,96MZYUY0,Vicki Laflamme,Won,GTXPro,2016-12-15,2017-03-07,4906.0
Opentech,JZOKHHWN,Donn Cantrell,Won,GTX Plus Basic,2016-12-16,2017-03-07,1037.0
Plexzap,EH6I67I0,James Ascencio,Won,GTX Basic,2016-12-16,2017-03-15,537.0
Hatfan,JUUXF02Z,Kary Hendrixson,Won,GTXPro,2016-12-16,2017-03-09,4694.0
Konmatfix,OT87JDWO,Lajuana Vencill,Won,GTX Basic,2016-12-16,2017-03-24,560.0
dambase,YHKT6YJ7,Moses Frase,Won,GTX Basic,2016-12-16,2017-03-13,589.0
Mathtouch,H78I3TAY,Reed Clapper,Won,GTX Basic,2016-12-16,2017-03-14,493.0
Betatech,1ROC43JK,Versie Hillebrand,Won,MG Special,2016-12-16,2017-03-08,50.0
Y-corporation,LPZLQL48,Vicki Laflamme,Won,GTX Basic,2016-12-16,2017-03-28,492.0
Konex,3KR50X38,Corliss Cosme,Won,GTX Plus Basic,2016-12-17,2017-03-13,1255.0
Statholdings,Q3WLHRE9,Darcel Schlecht,Won,GTX Basic,2016-12-17,2017-03-04,463.0
Initech,IX7UEOAP,Donn Cantrell,Lost,GTX Plus Basic,2016-12-17,2017-03-27,0.0
Zencorporation,NQU62K1H,Donn Cantrell,Won,GTX Basic,2016-12-17,2017-03-12,605.0
Fasehatice,NAQKOU0T,Hayden Neloms,Won,GTX Plus Basic,2016-12-17,2017-03-20,1315.0
Zumgoity,I3V3GUAI,Lajuana Vencill,Won,GTX Basic,2016-12-17,2017-03-02,559.0
Rundofase,PN4VJDXY,Moses Frase,Won,GTX Basic,2016-12-17,2017-03-28,557.0
Vehement Capital Partners,K9D4DQ3R,Rosie Papadopoulos,Won,MG Special,2016-12-17,2017-03-02,48.0
Isdom,9X6V79KE,Versie Hillebrand,Won,GTX Plus Pro,2016-12-17,2017-03-25,6282.0
Isdom,W1KLFNE4,Anna Snelling,Won,MG Advanced,2016-12-18,2017-03-02,3246.0
Finhigh,GD2OCW12,Darcel Schlecht,Won,GTX Basic,2016-12-18,2017-03-14,514.0
Silis,6XO4RYXK,Donn Cantrell,Won,GTX Plus Basic,2016-12-18,2017-03-15,1132.0
Silis,18Y7GRPW,Garret Kinder,Won,GTX Plus Pro,2016-12-18,2017-03-21,5918.0
Hottechi,127ZPLXQ,Kary Hendrixson,Lost,GTXPro,2016-12-18,2017-03-18,0.0
Kan-code,U07C2HEG,Maureen Marcano,Lost,MG Special,2016-12-18,2017-03-14,0.0
Hatfan,RNTOJ78L,Rosalina Dieter,Lost,MG Special,2016-12-18,2017-03-13,0.0
Gogozoom,NLB4D5BQ,Versie Hillebrand,Won,MG Advanced,2016-12-18,2017-03-24,2955.0
Fasehatice,FCFDJIEZ,Vicki Laflamme,Won,GTXPro,2016-12-18,2017-03-21,3742.0
Initech,YZGDW4G1,Violet Mclelland,Won,MG Special,2016-12-18,2017-03-14,64.0
Initech,G8AO5FA2,Wilburn Farren,Lost,MG Advanced,2016-12-18,2017-03-27,0.0
Scotfind,LXXW3TRW,Elease Gluck,Won,GTX Plus Basic,2016-12-19,2017-03-18,1164.0
Singletechno,8KJ3H262,Elease Gluck,Won,MG Special,2016-12-19,2017-03-07,65.0
Cancity,88POGNEL,Gladys Colclough,Lost,GTX Plus Basic,2016-12-19,2017-03-07,0.0
Groovestreet,UYP3NNU6,Kami Bicknell,Won,GTX Basic,2016-12-19,2017-03-16,441.0
Finhigh,S1V8684Y,Marty Freudenburg,Lost,GTX Plus Basic,2016-12-19,2017-03-12,0.0
Hatfan,MOPWEMB5,Vicki Laflamme,Won,GTXPro,2016-12-19,2017-03-16,4907.0
Isdom,L62MDI48,Anna Snelling,Lost,MG Advanced,2016-12-20,2017-03-01,0.0
Codehow,3EL8D4WO,Darcel Schlecht,Won,MG Advanced,2016-12-20,2017-03-25,3269.0
Kinnamplus,VOAN1NXG,Donn Cantrell,Won,GTX Basic,2016-12-20,2017-03-12,579.0
Isdom,ALW92XQL,Gladys Colclough,Lost,GTX Basic,2016-12-20,2017-03-25,0.0
Dalttechnology,TJ6ZA1M3,Kary Hendrixson,Lost,GTX Basic,2016-12-20,2017-03-07,0.0
Xx-holding,FKAFO8O9,Kary Hendrixson,Won,MG Special,2016-12-20,2017-03-31,51.0
Faxquote,1XBC7M9F,Markita Hansen,Won,MG Special,2016-12-20,2017-03-08,64.0
Donware,8IXBS90G,Rosie Papadopoulos,Won,MG Special,2016-12-20,2017-03-08,60.0
Ganjaflex,2X45BEOS,Cassey Cress,Won,GTX Plus Basic,2016-12-21,2017-03-27,1186.0
Yearin,EQ8X0QTL,Corliss Cosme,Won,MG Advanced,2016-12-21,2017-03-09,3577.0
Donquadtech,5QD53WHF,Daniell Hammack,Won,GTX Plus Basic,2016-12-21,2017-03-07,1020.0
Zoomit,79EABK3X,Hayden Neloms,Won,MG Special,2016-12-21,2017-03-23,53.0
Rundofase,2DKO9X1T,Jonathan Berthelot,Lost,GTX Basic,2016-12-21,2017-03-10,0.0
Faxquote,IBDEQVBN,Kary Hendrixson,Lost,GTX Basic,2016-12-21,2017-03-28,0.0
Sunnamplex,QZ3VV4C1,Kary Hendrixson,Won,GTXPro,2016-12-21,2017-03-08,4719.0
Codehow,62AK8UWX,Moses Frase,Won,GTX Basic,2016-12-21,2017-03-22,546.0
Domzoom,5QM4ORNT,Niesha Huffines,Won,GTX Plus Basic,2016-12-21,2017-03-21,1212.0
Sunnamplex,S91N9YBL,Vicki Laflamme,Lost,GTX Basic,2016-12-21,2017-03-08,0.0
Bioholding,44H0FJMH,Anna Snelling,Lost,GTX Plus Pro,2016-12-22,2017-03-27,0.0
Dontechi,N5AZLQZR,Gladys Colclough,Won,GTX Plus Pro,2016-12-22,2017-03-14,5533.0
Finjob,4T295XQL,Kami Bicknell,Won,MG Advanced,2016-12-22,2017-03-01,3295.0
Finjob,YFS5KLJJ,Rosalina Dieter,Won,MG Special,2016-12-22,2017-03-31,45.0
Bioplex,S8GLKDB9,Violet Mclelland,Won,MG Special,2016-12-22,2017-03-04,56.0
Funholding,01QKN578,Darcel Schlecht,Won,GTXPro,2016-12-23,2017-03-20,4247.0
Isdom,M0JKP0HT,Gladys Colclough,Won,MG Advanced,2016-12-23,2017-03-13,3440.0
Plexzap,ZC3KKSUK,James Ascencio,Won,GTXPro,2016-12-23,2017-03-02,5040.0
Cancity,3X8VLQ5G,Jonathan Berthelot,Won,GTX Basic,2016-12-23,2017-03-12,469.0
Isdom,EZLXL6GL,Moses Frase,Won,MG Special,2016-12-23,2017-03-07,58.0
